run,generalises,t_mem,t_gen,drawdown_by_tgen,drawdown_ever,note
grok,True,1630,13700.0,0.36805095581489367,0.5518425257096131,
grok_s1,True,1240,2990.0,0.1838532430211266,0.4468031046553428,
grok_s2,True,1400,3140.0,0.23115980993445573,0.47795508833602607,
lowdata15,False,660,,,0.17293233631901428,extended_non_grokking
lowdata20,False,830,,,0.14472074027326687,late_grokking_candidate
wd0,False,640,,,0.0,extended_non_grokking (frozen)
s0_i0,True,1450,5100.0,0.26777938896320996,0.4863219769830335,
s0_i2,True,1300,5950.0,0.1968557690586703,0.4719276093726169,
s1_i1,True,1350,2950.0,0.23374655942534983,0.45169964628384385,
s1_i3,True,1840,6340.0,0.328117527536788,0.5269996223762075,
s2_i0,True,1270,3600.0,0.24264052623956145,0.41362331020862453,
s3_i1,True,1430,3160.0,0.2246328007991799,0.4597099057133518,
s42_i0,True,1390,4850.0,0.21204782951380752,0.49197932160482005,
s4_i3,True,1630,7330.0,0.3614440477847345,0.5327446514493508,
